# CLDR symbol names for hy: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	բացականչության նշան	բացականչության կետ | բացականչության նշան | բացականչություն | հարված
⏹	կանգ կոճակ	կանգ կոճակ | ստոպ | ստոպ կոճակ | քառակուսի
⏺	ձայնագրման կոճակ	ձայնագրել | ձայնագրել կոճակ | ձայնագրման կոճակ | շրջան
Ⓜ	էմ տառը շրջանակի մեջ	m | էմ տառը շրջանակի մեջ | շրջան
■	հոծ քառակուսի	հոծ քառակուսի
□	սնամեջ քառակուսի	սնամեջ քառակուսի
▢	սնամեջ քառակուսի կլորացված անկյուններով	սնամեջ քառակուսի կլորացված անկյուններով
▣	հոծ քառակուսի պարունակող սնամեջ քառակուսի	հոծ քառակուսի պարունակող սնամեջ քառակուսի
▤	հորիզոնական լցված քառակուսի	հորիզոնական լցված քառակուսի
▥	ուղղաձիգ լցված քառակուսի	ուղղաձիգ լցված քառակուսի
▦	ուղղանկյուն ցանցով լցված քառակուսի	ուղղանկյուն ցանցով լցված քառակուսի
▧	ձախ վերեւից ստորին աջ լցված քառակուսի	ձախ վերեւից ստորին աջ լցված քառակուսի
▨	աջ վերեւից ստորին ձախ լցված քառակուսի	աջ վերեւից ստորին ձախ լցված քառակուսի
▩	անկյունագծային ցանցով լցված քառակուսի	անկյունագծային ցանցով լցված քառակուսի
▪	սև փոքր քառակուսի	երկրաչափական | սև փոքր քառակուսի | քառակուսի
▫	սպիտակ փոքր քառակուսի	երկրաչափական | սպիտակ փոքր քառակուսի | քառակուսի
▬	հոծ ուղղանկյուն	հոծ ուղղանկյուն
▭	սնամեջ եռանկյուն	սնամեջ եռանկյուն
▮	հոծ ուղղաձիգ ուղղանկյուն	հոծ ուղղաձիգ ուղղանկյուն
▰	հոծ զուգահեռագիծ	հոծ զուգահեռագիծ
▲	հոծ վեր ուղղված եռանկյուն	եռանկյուն | հոծ | հոծ վեր ուղղված եռանկյուն | սլաք | վեր
△	սնամեջ վեր ուղղված եռանկյուն	սնամեջ վեր ուղղված եռանկյուն
▴	հոծ վեր ուղղված փոքր եռանկյուն	հոծ վեր ուղղված փոքր եռանկյուն
▵	սնամեջ վեր ուղղված փոքր եռանկյուն	սնամեջ վեր ուղղված փոքր եռանկյուն
▶	նվագարկել կոճակ	աջ | եռանկյուն | նվագարկել | նվագարկել կոճակ | սլաք
▷	սնամեջ աջ ուղղված եռանկյուն	սնամեջ աջ ուղղված եռանկյուն
▸	հոծ աջ ուղղված փոքր եռանկյուն	հոծ աջ ուղղված փոքր եռանկյուն
▹	սնամեջ աջ ուղղված փոքր եռանկյուն	սնամեջ աջ ուղղված փոքր եռանկյուն
►	հոծ աջ ուղղված ցուցիչ	հոծ աջ ուղղված ցուցիչ
▻	սնամեջ աջ ուղղված ցուցիչ	սնամեջ աջ ուղղված ցուցիչ
▼	հոծ վար ուղղված եռանկյուն	եռանկյուն | հոծ | հոծ վար ուղղված եռանկյուն | սլաք | վար
▽	սնամեջ վար ուղղված եռանկյուն	սնամեջ վար ուղղված եռանկյուն
▾	հոծ վար ուղղված փոքր եռանկյուն	հոծ վար ուղղված փոքր եռանկյուն
▿	սնամեջ վար ուղղված փոքր եռանկյուն	սնամեջ վար ուղղված փոքր եռանկյուն
